digit1,digit2,subsample_size,rejection_cost,n_total,n_train,n_test,n_rejected,accuracy_sem_rej,accuracy_com_rej,rejection_rate,t_plus,t_minus,zona_rejeicao,tempo_segundos,sucesso,erro
4,9,0.03,0.15,413,289,124,0,0.9516129032258065,0.9596774193548387,0.0,0.40593010346295333,0.40593010346295333,0.0,5.079412221908569,True,
4,9,0.03,0.18,413,289,124,0,0.9516129032258065,0.9596774193548387,0.0,0.40593010346295333,0.40593010346295333,0.0,4.6686248779296875,True,
4,9,0.03,0.2,413,289,124,0,0.9516129032258065,0.9596774193548387,0.0,0.40593010346295333,0.40593010346295333,0.0,4.870361804962158,True,
4,9,0.03,0.24,413,289,124,0,0.9516129032258065,0.9596774193548387,0.0,0.40593010346295333,0.40593010346295333,0.0,4.517645359039307,True,
4,9,0.05,0.15,689,482,207,0,0.9420289855072463,0.9420289855072463,0.0,-0.10194551647391395,-0.10194551647391395,0.0,4.4511473178863525,True,
4,9,0.05,0.18,689,482,207,0,0.9420289855072463,0.9420289855072463,0.0,-0.10194551647391395,-0.10194551647391395,0.0,4.871345281600952,True,
4,9,0.05,0.2,689,482,207,0,0.9420289855072463,0.9420289855072463,0.0,-0.10194551647391395,-0.10194551647391395,0.0,4.9278786182403564,True,
4,9,0.05,0.24,689,482,207,0,0.9420289855072463,0.9420289855072463,0.0,-0.10194551647391395,-0.10194551647391395,0.0,4.398396015167236,True,
4,9,0.08,0.15,1102,771,331,10,0.9395770392749244,0.9439252336448598,0.030211480362537766,-0.047827259111646606,-0.6957605285026222,0.6479332693909755,4.329312801361084,True,
4,9,0.08,0.18,1102,771,331,10,0.9395770392749244,0.9439252336448598,0.030211480362537766,-0.047827259111646606,-0.6957605285026222,0.6479332693909755,4.362926483154297,True,
4,9,0.08,0.2,1102,771,331,10,0.9395770392749244,0.9439252336448598,0.030211480362537766,-0.047827259111646606,-0.6957605285026222,0.6479332693909755,4.102150201797485,True,
4,9,0.08,0.24,1102,771,331,10,0.9395770392749244,0.9439252336448598,0.030211480362537766,-0.047827259111646606,-0.6957605285026222,0.6479332693909755,4.1629321575164795,True,
4,9,0.1,0.15,1378,964,414,14,0.9444444444444444,0.955,0.033816425120772944,0.753124724671533,-0.691937256391724,1.445061981063257,4.0942418575286865,True,
4,9,0.1,0.18,1378,964,414,14,0.9444444444444444,0.955,0.033816425120772944,0.753124724671533,-0.691937256391724,1.445061981063257,3.996677875518799,True,
4,9,0.1,0.2,1378,964,414,14,0.9444444444444444,0.955,0.033816425120772944,0.753124724671533,-0.691937256391724,1.445061981063257,4.0404884815216064,True,
4,9,0.1,0.24,1378,964,414,14,0.9444444444444444,0.955,0.033816425120772944,0.753124724671533,-0.691937256391724,1.445061981063257,4.204463481903076,True,
3,8,0.03,0.15,418,292,126,14,0.9444444444444444,0.9732142857142857,0.1111111111111111,1.4557218493355222,-1.4647368690841818,2.920458718419704,4.390813589096069,True,
3,8,0.03,0.18,418,292,126,14,0.9444444444444444,0.9732142857142857,0.1111111111111111,1.4557218493355222,-1.4647368690841818,2.920458718419704,3.835392951965332,True,
3,8,0.03,0.2,418,292,126,14,0.9444444444444444,0.9732142857142857,0.1111111111111111,1.4557218493355222,-1.4647368690841818,2.920458718419704,3.8115663528442383,True,
