Dataset,Acc s/Rej (%),Acc c/Rej (%),Ganho (%),Taxa Rej (%),Nº Rejeitadas,Trade-off
breast_cancer,92.40,97.99,5.59,12.87,22/171,0.434
mnist_3_vs_8,95.24,95.24,0.00,0.00,0/126,0.000
pima_indians_diabetes,74.46,82.76,8.30,24.68,57/231,0.336
sonar,68.25,95.65,27.40,63.49,40/63,0.432
vertebral_column,76.34,86.57,10.22,27.96,26/93,0.366
wine,66.67,90.70,24.03,20.37,11/54,1.180
banknote,61.41,89.59,28.18,11.41,47/412,2.470
heart_disease,85.56,85.71,0.16,6.67,6/90,0.024
wine_quality,86.46,87.89,1.43,5.42,26/480,0.263
spambase,62.27,87.17,24.90,9.70,134/1381,2.566
creditcard,99.83,99.83,0.00,0.00,0/42721,0.000
newsgroups,85.23,89.54,4.31,11.74,70/596,0.367
